Package,Coach Type,Package days,Boarding Points,SUNDAY_ADULT,SUNDAY_CHILD,MONDAY_ADULT,MONDAY_CHILD,TUESDAY_ADULT,TUESDAY_CHILD,WEDNESDAY _ADULT,WEDNESDAY _CHILD,THURSDAY_ADULT,THURSDAY_CHILD,FRIDAY_ADULT,FRIDAY_CHILD,SATURDAY _ADULT,SATURDAY _CHILD,Single Ticket Extra Tariff
HYDERABAD CITY TOUR,NON AC PACKAGE,"SUN,MON,TUE,WED,THU,FRI,SAT","(LUMBINI PARK : 19:30:00),(YATRINIVAS, Ph: 9848126947 : 7:30:00),(PARYATAK BHAVAN BEGUMPET, Ph: 9848306435 : 7:45:00)",300,250,300,250,300,250,300,250,300,250,300,250,300,250,0
HYDERABAD CITY TOUR,AC PACKAGE,"SUN,MON,TUE,WED,THU,FRI,SAT","(LUMBINI PARK : 19:30:00),(YATRINIVAS, Ph: 9848126947 : 7:30:00),(PARYATAK BHAVAN BEGUMPET, Ph: 9848306435 : 7:45:00)",400,330,400,330,400,330,400,330,400,330,400,330,400,330,0
RAMOJI FILM CITY,NON AC PACKAGE,"SUN,MON,TUE,WED,THU,FRI,SAT","(CRO BASHEERBAGH, Ph: 9848540371 : 08:15:00),(RAMOJI FILM CITY : 10:00:00),(PARYATAK BHAVAN BEGUMPET, Ph: 9848306435 : 07:45:00),(YATRINIVAS, Ph: 9848126947 : 07:30:00)",1710,1370,1710,1370,1710,1370,1710,1370,1710,1370,1710,1370,1710,1370,0
RAMOJI FILM CITY,AC PACKAGE,"SUN,MON,TUE,WED,THU,FRI,SAT","(CRO BASHEERBAGH, Ph: 9848540371 : 08:15:00),(RAMOJI FILM CITY : 10:00:00),(PARYATAK BHAVAN BEGUMPET, Ph: 9848306435 : 07:45:00),(YATRINIVAS, Ph: 9848126947 : 07:30:00)",1810,1450,1810,1450,1810,1450,1810,1450,1810,1450,1810,1450,1810,1450,0
SRISAILAM TOUR,PACKAGE,"SUN,MON,TUE,WED,THU,FRI,SAT","(CRO BASHEERBAGH, Ph: 9848540371 : 10:30:00),(SRISAILAM : 20:30:00),(YATRINIVAS, Ph: 9848126947 : 10:00:00),(PARYATAK BHAVAN BEGUMPET, Ph: 9848306435 : 10:15:00),(RGI AIRPORT SHAMSHABAD, 9848540371 : 11:00:00)",2050,1650,2050,1650,2050,1650,2050,1650,2050,1650,2050,1650,2050,1650,400
SRISAILAM TOUR,RETURN JOURNEY,"SUN,MON,TUE,WED,THU,FRI,SAT","(CRO BASHEERBAGH, Ph: 9848540371 : 10:30:00),(SRISAILAM : 20:30:00),(YATRINIVAS, Ph: 9848126947 : 10:00:00),(PARYATAK BHAVAN BEGUMPET, Ph: 9848306435 : 10:15:00),(RGI AIRPORT SHAMSHABAD, 9848540371 : 11:00:00)",550,440,550,440,550,440,550,440,550,440,550,440,550,440,0
NAGARJUNA SAGAR,NON AC PACKAGE,"SAT,SUN","(CRO TANKBUND, Ph: 9848540371 : 08:00:00),(NAGARJUNA SAGAR : 10:30:00),(YATRINIVAS, Ph: 9848126947 : 07:15:00),(PARYATAK BHAVAN BEGUMPET, Ph: 9848306435 : 07:30:00)",600,490,0,0,0,0,0,0,0,0,0,0,600,490,0
HYDERABAD-TIRUPATHI,AC PACKAGE MULTI AXLE,"SUN,MON,TUE,WED,THU,FRI,SAT","(KPHB,Beside VRK SILKS, Ph: 9848540374 : 17:00:00),(YATRINIVAS, Ph: 9848126947 : 18:00:00),(PARYATAK BHAVAN BEGUMPET, Ph: 9848306435 : 18:15:00),(CRO BASHEERBAGH, Ph: 9848540371 : 19:00:00)",3400,2720,3400,2720,3400,2720,3400,2720,3400,2720,3400,2720,3400,2720,0
HYDERABAD-TIRUPATHI,AC PACKAGE VOLVO,"SUN,MON,TUE,WED,THU,FRI,SAT","(KPHB,Beside VRK SILKS, Ph: 9848540374 : 17:00:00),(YATRINIVAS, Ph: 9848126947 : 18:00:00),(PARYATAK BHAVAN BEGUMPET, Ph: 9848306435 : 18:15:00),(CRO BASHEERBAGH, Ph: 9848540371 : 19:00:00)",3050,2450,3050,2450,3050,2450,3050,2450,3050,2450,3050,2450,3050,2450,0
HYDERABAD-TIRUPATHI-KANIPAKAM,AC PACKAGE,"FRI,SAT","(KPHB,Beside VRK SILKS, Ph: 9848540374 : 18:00:00),(YATRINIVAS, Ph: 9848126947 : 19:00:00),(PARYATAK BHAVAN BEGUMPET, Ph: 9848306435 : 19:15:00),(CRO BASHEERBAGH, Ph: 9848540371 : 20:00:00)",0,0,0,0,0,0,0,0,0,0,3650,2930,3650,2930,250
