,district,month,visitors,Date
0,Adilabad,January,30836,01-01-2024
1,Adilabad,February,31774,01-01-2024
2,Adilabad,March,10922,01-01-2024
3,Adilabad,April,9307,01-01-2024
4,Adilabad,May,10020,01-01-2024
5,Adilabad,June,11832,01-01-2024
6,Adilabad,July,30429,01-01-2024
7,Adilabad,August,41245,01-01-2024
8,Adilabad,September,35529,01-01-2024
9,Adilabad,October,29176,01-01-2024
10,Adilabad,November,104878,01-01-2024
11,Adilabad,December,32892,01-01-2024
12,Bhadradri Kothagudem,January,85790,01-01-2024
13,Bhadradri Kothagudem,February,98978,01-01-2024
14,Bhadradri Kothagudem,March,91907,01-01-2024
15,Bhadradri Kothagudem,April,170644,01-01-2024
16,Bhadradri Kothagudem,May,172982,01-01-2024
17,Bhadradri Kothagudem,June,159167,01-01-2024
18,Bhadradri Kothagudem,July,119099,01-01-2024
19,Bhadradri Kothagudem,August,95462,01-01-2024
20,Bhadradri Kothagudem,September,73199,01-01-2024
21,Bhadradri Kothagudem,October,108019,01-01-2024
22,Bhadradri Kothagudem,November,82008,01-01-2024
23,Bhadradri Kothagudem,December,131923,01-01-2024
24,Hanumakonda,January,36746,01-01-2024
25,Hanumakonda,February,42083,01-01-2024
26,Hanumakonda,March,36336,01-01-2024
27,Hanumakonda,April,35022,01-01-2024
28,Hanumakonda,May,32617,01-01-2024
29,Hanumakonda,June,35709,01-01-2024
30,Hanumakonda,July,37695,01-01-2024
31,Hanumakonda,August,38753,01-01-2024
32,Hanumakonda,September,37919,01-01-2024
33,Hanumakonda,October,36461,01-01-2024
34,Hanumakonda,November,39112,01-01-2024
35,Hanumakonda,December,38695,01-01-2024
36,"Hyderabad,Ranga Reddy,Medchal - Malkajigiri,Vikarabad",January,2258478,01-01-2024
37,"Hyderabad,Ranga Reddy,Medchal - Malkajigiri,Vikarabad",February,1304258,01-01-2024
38,"Hyderabad,Ranga Reddy,Medchal - Malkajigiri,Vikarabad",March,1115850,01-01-2024
39,"Hyderabad,Ranga Reddy,Medchal - Malkajigiri,Vikarabad",April,190162,01-01-2024
40,"Hyderabad,Ranga Reddy,Medchal - Malkajigiri,Vikarabad",May,2353135,01-01-2024
41,"Hyderabad,Ranga Reddy,Medchal - Malkajigiri,Vikarabad",June,1946127,01-01-2024
42,"Hyderabad,Ranga Reddy,Medchal - Malkajigiri,Vikarabad",July,1197793,01-01-2024
43,"Hyderabad,Ranga Reddy,Medchal - Malkajigiri,Vikarabad",August,1445835,01-01-2024
44,"Hyderabad,Ranga Reddy,Medchal - Malkajigiri,Vikarabad",September,1291334,01-01-2024
45,"Hyderabad,Ranga Reddy,Medchal - Malkajigiri,Vikarabad",October,3274212,01-01-2024
46,"Hyderabad,Ranga Reddy,Medchal - Malkajigiri,Vikarabad",November,1875069,01-01-2024
47,"Hyderabad,Ranga Reddy,Medchal - Malkajigiri,Vikarabad",December,3487707,01-01-2024
48,Jagtial,January,246818,01-01-2024
49,Jagtial,February,444619,01-01-2024
50,Jagtial,March,433459,01-01-2024
51,Jagtial,April,455132,01-01-2024
52,Jagtial,May,477887,01-01-2024
53,Jagtial,June,502231,01-01-2024
54,Jagtial,July,527235,01-01-2024
55,Jagtial,August,553760,01-01-2024
56,Jagtial,September,185810,01-01-2024
57,Jagtial,October,227720,01-01-2024
58,Jagtial,November,430303,01-01-2024
59,Jagtial,December,209682,01-01-2024
60,Jangaon,January,5760,01-01-2024
61,Jangaon,February,5840,01-01-2024
62,Jangaon,March,5350,01-01-2024
63,Jangaon,April,5210,01-01-2024
64,Jangaon,May,4990,01-01-2024
65,Jangaon,June,5200,01-01-2024
66,Jangaon,July,4905,01-01-2024
67,Jangaon,August,5010,01-01-2024
68,Jangaon,September,5680,01-01-2024
69,Jangaon,October,5115,01-01-2024
70,Jangaon,November,4950,01-01-2024
71,Jangaon,December,5605,01-01-2024
72,Jayashankar Bhoopalpally,January,15958,01-01-2024
73,Jayashankar Bhoopalpally,February,15748,01-01-2024
74,Jayashankar Bhoopalpally,March,15523,01-01-2024
75,Jayashankar Bhoopalpally,April,14684,01-01-2024
