,district,month,visitors,Date
0,Adilabad,January,0,01-01-2024
1,Adilabad,February,0,01-01-2024
2,Adilabad,March,0,01-01-2024
3,Adilabad,April,0,01-01-2024
4,Adilabad,May,0,01-01-2024
5,Adilabad,June,0,01-01-2024
6,Adilabad,July,0,01-01-2024
7,Adilabad,August,0,01-01-2024
8,Adilabad,September,0,01-01-2024
9,Adilabad,October,0,01-01-2024
10,Adilabad,November,0,01-01-2024
11,Adilabad,December,2,01-01-2024
12,Bhadradri Kothagudem,January,0,01-01-2024
13,Bhadradri Kothagudem,February,0,01-01-2024
14,Bhadradri Kothagudem,March,0,01-01-2024
15,Bhadradri Kothagudem,April,0,01-01-2024
16,Bhadradri Kothagudem,May,0,01-01-2024
17,Bhadradri Kothagudem,June,0,01-01-2024
18,Bhadradri Kothagudem,July,0,01-01-2024
19,Bhadradri Kothagudem,August,0,01-01-2024
20,Bhadradri Kothagudem,September,0,01-01-2024
21,Bhadradri Kothagudem,October,0,01-01-2024
22,Bhadradri Kothagudem,November,0,01-01-2024
23,Bhadradri Kothagudem,December,0,01-01-2024
24,Hanumakonda,January,10,01-01-2024
25,Hanumakonda,February,12,01-01-2024
26,Hanumakonda,March,8,01-01-2024
27,Hanumakonda,April,8,01-01-2024
28,Hanumakonda,May,10,01-01-2024
29,Hanumakonda,June,10,01-01-2024
30,Hanumakonda,July,12,01-01-2024
31,Hanumakonda,August,9,01-01-2024
32,Hanumakonda,September,10,01-01-2024
33,Hanumakonda,October,10,01-01-2024
34,Hanumakonda,November,11,01-01-2024
35,Hanumakonda,December,13,01-01-2024
36,"Hyderabad,Ranga Reddy,Medchal - Malkajigiri,Vikarabad",January,17083,01-01-2024
37,"Hyderabad,Ranga Reddy,Medchal - Malkajigiri,Vikarabad",February,9521,01-01-2024
38,"Hyderabad,Ranga Reddy,Medchal - Malkajigiri,Vikarabad",March,12316,01-01-2024
39,"Hyderabad,Ranga Reddy,Medchal - Malkajigiri,Vikarabad",April,8189,01-01-2024
40,"Hyderabad,Ranga Reddy,Medchal - Malkajigiri,Vikarabad",May,13769,01-01-2024
41,"Hyderabad,Ranga Reddy,Medchal - Malkajigiri,Vikarabad",June,8871,01-01-2024
42,"Hyderabad,Ranga Reddy,Medchal - Malkajigiri,Vikarabad",July,10645,01-01-2024
43,"Hyderabad,Ranga Reddy,Medchal - Malkajigiri,Vikarabad",August,27898,01-01-2024
44,"Hyderabad,Ranga Reddy,Medchal - Malkajigiri,Vikarabad",September,7879,01-01-2024
45,"Hyderabad,Ranga Reddy,Medchal - Malkajigiri,Vikarabad",October,20329,01-01-2024
46,"Hyderabad,Ranga Reddy,Medchal - Malkajigiri,Vikarabad",November,10077,01-01-2024
47,"Hyderabad,Ranga Reddy,Medchal - Malkajigiri,Vikarabad",December,8353,01-01-2024
48,Jagtial,January,0,01-01-2024
49,Jagtial,February,0,01-01-2024
50,Jagtial,March,0,01-01-2024
51,Jagtial,April,0,01-01-2024
